,テクニカルのみ,複合(財務は現在値固定),ベンチマーク(全銘柄等ウェイト),参考: 日経225,参考: S&P500
2021-08-31,0.16401253162622736,0.18069585641803348,0.02643759277728558,0.02953970585856114,0.028990416255438634
2021-09-30,-0.014436869010369436,-0.017342457381195886,-0.011194821754384646,0.04852771313609017,-0.047569168801901096
2021-10-31,0.05981267574030903,-0.010387477567308779,0.03683968442882801,-0.019012567970237204,0.0691438364006065
2021-11-30,-0.02781474001449491,0.026709107421405552,-0.032475213557431264,-0.03706576673097384,-0.008333706184746159
2021-12-31,0.044736170699376646,0.02991593569927876,0.056779695252371115,0.03486304173589394,0.04361291346206486
2022-01-31,-0.10307320922437382,-0.01468031006477657,-0.03433601683845018,-0.06216130999074987,-0.052585165027393854
2022-02-28,0.07252136069758759,0.03968671103595626,-0.006426513039773325,-0.01759723353625542,-0.031360491945908286
2022-03-31,0.14681672062449574,0.15085386898072958,0.03560917854937062,0.04880379026769188,0.03577328837154625
2022-04-30,0.01060517351912581,-0.05039651080699771,-0.052606740118778035,-0.03499206574967639,-0.08795671180434306
2022-05-31,0.05401160050039221,0.06304560654187127,0.01023738848238599,0.016086933590375496,5.317770464463578e-05
2022-06-30,-0.13887839738115887,-0.20306353444716624,-0.06730200528901036,-0.032506165490749916,-0.08391999993382682
2022-07-31,0.01335084314453252,0.059992598726993106,0.07571182549764767,0.05337019201026316,0.09111639173021002
2022-08-31,0.060142718113384154,0.015618304285643902,-0.012280558075801485,0.010427034712991778,-0.04244012827299837
2022-09-30,-0.07933135331949225,-0.08775780321763398,-0.08000021949279718,-0.07668925164621254,-0.09339567201327437
2022-10-31,0.1036437456313108,0.0563965791758821,0.08469285186081486,0.06362480545716931,0.0798634138370089
2022-11-30,0.03953986118972334,0.12095112409856079,0.059210454925456506,0.013829808322678216,0.053752893352493114
2022-12-31,-0.07467309786740185,-0.015496769501069685,-0.048926520326903804,-0.06702030422504057,-0.05897147407473047
2023-01-31,0.03871231214207801,0.03886232141469197,0.06752333556853708,0.047236366858916634,0.0617528578346791
2023-02-28,0.04461909883145941,0.007550965921733444,-0.011203476290311218,0.004334566464734291,-0.02611249393181858
2023-03-31,0.0428762198559607,0.013365224965112466,0.005367636925734122,0.021712798354299068,0.03505161257710898
2023-04-30,-0.01625473133593195,0.026636497240610735,0.012289895698066478,0.029062623326297166,0.014642341662481018
2023-05-31,-0.03552270289323621,0.04498047818100655,-0.0031324318777073657,0.07039820035836075,0.002482347368192972
2023-06-30,0.08670725968028387,0.08614047923431943,0.08167525359533574,0.07450035868765537,0.06472746490423464
2023-07-31,0.10752620556040844,0.18013389025229662,0.03563415052381354,-0.0005068032391153388,0.031138932355010862
2023-08-31,-0.0393708240209479,-0.0264422457103324,-0.014004707246432066,-0.016666925731339544,-0.017716390070854016
2023-09-30,-0.020513119362906562,-0.026751881449569016,-0.02862753433511739,-0.02335181235346029,-0.048719367465624885
2023-10-31,-0.034367528807979,0.012280054033170307,-0.03700852724828148,-0.03135104123259369,-0.02197968873798295
2023-11-30,0.04546771869492407,0.019445248258420967,0.08400603117740635,0.0851632853749218,0.08917926878197013
2023-12-31,0.06686663260449277,-0.005753119446479038,0.046319737805962845,-0.0006784371309481729,0.04422923115636013
2024-01-31,-0.005525358400189384,0.02582882860231117,0.021467944609432733,0.08434510416224072,0.015895707598991615
2024-02-29,0.1895820095871882,0.10939057481979853,0.04908881630249059,0.07935358136232296,0.05172064062372317
2024-03-31,0.17096980819188728,0.10880641545699114,0.050322027729344625,0.030721649381716176,0.031018779915342964
2024-04-30,-0.02182749511220572,0.039462135910319454,-0.033258893879775216,-0.04864524208392851,-0.04161507173789869
2024-05-31,0.09340896119963722,0.10699178960008333,0.024861603128475327,0.0021413062792157156,0.0480211901511991
2024-06-30,-0.05079932992614052,0.0026830627866034408,0.004025939561632015,0.028455169857570795,0.03466980128308328
2024-07-31,-0.019400115565389297,-0.0069786027949616195,0.02929666223020624,-0.01215817049346768,0.011321316887868749
2024-08-31,0.05029303822066374,0.0051108303831088105,0.012768142808315544,-0.01161251084658188,0.022834706936630367
2024-09-30,0.06586851497148831,0.07084372598203412,0.016446760010918302,-0.018841956355803324,0.020196884090601275
2024-10-31,0.07099426814039889,-0.02055831187716518,-0.003247682675437744,0.030635890848275116,-0.009896743303151712
2024-11-30,0.028334043430748957,0.05932629094817225,0.04790496274762375,-0.02234367503598278,0.057301295482098835
2024-12-31,-0.013500519365405039,-0.0772477868074909,-0.03122153286986643,0.044140139057806005,-0.02499013704848363
2025-01-31,-0.017935460081430342,0.0330628948165543,0.02756657249893185,-0.008072553006451932,0.0270163042404441
2025-02-28,-0.022685701054798037,-0.04444669598404246,-0.012569967285583192,-0.06107749060589662,-0.014242092699825126
2025-03-31,-0.044407922666838115,0.018941474763583856,-0.02686458752683599,-0.04139202557494848,-0.05754469768137538
2025-04-30,0.05016892774105597,-0.0015017311927269961,-0.014831929287893121,0.012011500209199388,-0.007624943346289825
2025-05-31,0.027007097184077723,0.07350245280766203,0.05093585292198584,0.053258495665782446,0.06152382614078289
2025-06-30,0.11500304278696767,0.06885219973155604,0.03631578855064339,0.06643704240716142,0.049606839467715824
2025-07-31,0.06579820135799422,0.024983136415498108,0.022531274166215504,0.014385458744292645,0.0216665625306407
2025-08-31,0.037443692852465904,-0.00840549232549349,0.036624091997749506,0.040142577322117345,0.019066444295036122
2025-09-30,0.15194666721822908,0.1821567976149375,0.02234397909071319,0.0518314495121035,0.035323687218701494
2025-10-31,0.21026696931714461,0.19004920119729246,0.009488361784788417,0.16644276374533984,0.0226868719049238
2025-11-30,-0.01278366307799339,-0.004793699123995044,0.02796716389231623,-0.04116341413769964,0.0012996181666717899
2025-12-31,0.02711674445183162,0.033891035745806444,0.008473882944603054,0.0017027592924399038,-0.0005241344225139777
2026-01-31,0.17895182551597524,0.3054163582491841,0.037295648739775554,0.059265035434802105,0.013662958900920286
2026-02-28,0.1420122078541718,0.10887453267759435,0.06451279763027909,0.10365945943966048,-0.008668344740704326
2026-03-31,-0.07783076516573562,-0.108326935927394,-0.07241381480680649,-0.13231121697947834,-0.050932690968577
2026-04-30,0.014056059925331455,0.04978481060527007,0.061136641893367344,0.1609989112866952,0.10423338582985764
2026-05-31,0.49413575180323355,0.20884705450247282,0.03910465290030441,0.11882579755866463,0.05147035515724263
2026-06-30,-0.00697929473183202,0.012064758295604805,0.018115250177380398,0.056276925236885544,-0.010646379407113993
2026-07-31,-0.11306989809404766,-0.06613528794842091,0.016431527171109524,-0.004542384531093235,-0.0021494673145605603
